@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
68,37,54,82,9,72,25,21,11,84,56,39,69,26,73,22,56,39,11,84,73,22,69,26,69,22,56,26,11,39,4.0
70,48,40,73,18,77,23,16,20,75,44,52,71,24,78,17,43,51,20,75,78,17,71,24,71,17,44,24,20,52,3.0
67,45,46,74,15,71,26,22,18,77,48,47,68,27,72,23,48,47,18,77,72,23,68,27,68,23,48,27,18,47,7.0
62,56,35,68,25,72,28,21,26,69,36,58,65,30,73,22,37,58,26,69,73,22,64,30,65,22,37,31,26,58,5.0
61,61,30,79,14,76,30,17,15,80,32,63,62,32,77,17,32,63,15,80,77,18,63,32,63,18,32,32,15,63,6.0
68,41,50,83,8,78,25,15,10,85,52,43,69,26,79,16,52,43,10,85,79,16,69,26,69,16,52,26,10,43,7.0
67,30,63,86,6,72,26,21,8,88,64,31,68,27,73,22,64,31,7,87,73,22,68,27,68,22,64,27,8,31,2.0
55,55,36,77,14,74,35,19,16,79,38,57,58,38,75,20,38,57,16,79,75,20,57,37,58,20,38,38,16,57,3.0
74,46,45,79,13,79,19,14,15,81,47,48,75,20,80,15,47,48,14,80,80,15,75,20,75,15,47,20,15,48,2.0
64,38,53,74,17,69,29,24,19,76,55,40,65,30,70,25,55,40,19,76,70,25,65,30,65,25,55,30,19,40,1.0
63,44,49,80,13,74,27,19,14,81,50,45,66,30,75,20,50,45,14,81,75,20,65,29,66,20,50,30,14,45,4.0
62,44,49,74,17,80,29,13,19,76,49,45,64,30,81,14,50,45,19,76,81,14,64,31,64,14,50,31,19,45,6.0
61,51,40,69,22,73,33,20,24,71,41,53,62,33,74,21,42,53,24,71,74,21,61,33,62,21,42,34,24,53,5.0
68,51,38,72,21,72,25,21,22,73,41,54,69,26,73,22,41,54,22,73,73,22,69,26,69,22,41,26,22,54,5.0
67,48,43,75,18,70,26,23,19,76,45,50,68,27,71,24,45,50,19,76,71,24,68,27,68,24,45,27,19,50,2.0
68,38,52,82,9,73,25,20,11,84,55,41,69,26,74,21,54,40,11,84,74,21,69,26,69,21,55,26,11,41,5.0
68,47,44,77,14,76,25,17,16,79,46,49,68,26,77,17,46,49,16,79,77,18,69,26,69,18,46,26,16,49,6.0
68,33,57,84,9,72,25,21,10,85,59,36,69,25,73,22,59,35,10,85,73,22,69,26,69,22,60,26,10,36,7.0
72,32,58,85,5,76,20,17,8,88,61,35,73,22,77,17,60,34,7,87,77,18,73,21,74,18,61,22,8,35,1.0
75,39,51,84,9,79,18,14,10,85,54,42,76,19,80,15,53,41,10,85,80,15,76,19,76,15,54,19,10,42,2.0
55,60,31,80,13,70,36,23,14,81,33,62,57,38,71,24,33,62,14,81,71,24,57,38,57,24,33,38,14,62,2.0
68,35,55,87,6,75,25,18,7,88,57,38,69,25,76,19,57,37,7,88,76,19,69,26,69,19,58,26,7,38,6.0
59,57,33,75,18,75,31,18,19,76,36,60,62,34,76,19,35,59,19,76,76,19,61,33,62,19,36,34,19,60,5.0
69,38,52,82,11,73,24,20,12,83,55,41,70,25,74,21,54,40,12,83,74,21,70,25,70,21,55,25,12,41,4.0
